full,abbr
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Asian/Pacific Islander students",C150_4_API
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students",C150_4_AIANOLD
"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Hispanic students",C150_4_HISPOLD
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for white students",C150_L4_WHITE
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for black students",C150_L4_BLACK
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Hispanic students",C150_L4_HISP
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Asian students",C150_L4_ASIAN
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students",C150_L4_AIAN
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Native Hawaiian/Pacific Islander students",C150_L4_NHPI
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for students of two-or-more-races",C150_L4_2MOR
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for non-resident alien students",C150_L4_NRA
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for students whose race is unknown",C150_L4_UNKN
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for white non-Hispanic students",C150_L4_WHITENH
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for black non-Hispanic students",C150_L4_BLACKNH
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Asian/Pacific Islander students",C150_L4_API
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students",C150_L4_AIANOLD
"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion) for Hispanic students",C150_L4_HISPOLD
"First-time, full-time student retention rate at four-year institutions",RET_FT4
"First-time, full-time student retention rate at less-than-four-year institutions",RET_FTL4
"First-time, part-time student retention rate at four-year institutions",RET_PT4
"First-time, part-time student retention rate at less-than-four-year institutions",RET_PTL4
Percent of all undergraduate students receiving a federal student loan,PCTFLOAN
Percentage of undergraduates aged 25 and above,UG25ABV
Two-year cohort default rate,CDR2
Three-year cohort default rate,CDR3
Percent died within 2 years at original institution,DEATH_YR2_RT
Percent completed within 2 years at original institution,COMP_ORIG_YR2_RT
Percent who transferred to a 4-year institution and completed within 2 years,COMP_4YR_TRANS_YR2_RT
Percent who transferred to a 2-year institution and completed within 2 years,COMP_2YR_TRANS_YR2_RT
Percent withdrawn from original institution within 2 years,WDRAW_ORIG_YR2_RT
Percent who transferred to a 4-year institution and withdrew within 2 years,WDRAW_4YR_TRANS_YR2_RT
Percent who transferred to a 2-year institution and withdrew within 2 years,WDRAW_2YR_TRANS_YR2_RT
Percent still enrolled at original institution within 2 years,ENRL_ORIG_YR2_RT
Percent who transferred to a 4-year institution and were still enrolled within 2 years,ENRL_4YR_TRANS_YR2_RT
Percent who transferred to a 2-year institution and were still enrolled within 2 years,ENRL_2YR_TRANS_YR2_RT
Percent with status unknown within 2 years at original institution,UNKN_ORIG_YR2_RT
Percent who transferred to a 4-year institution and whose status is unknown within 2 years,UNKN_4YR_TRANS_YR2_RT
Percent who transferred to a 2-year institution and whose status is unknown within 2 years,UNKN_2YR_TRANS_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who died within 2 years at original institution",LO_INC_DEATH_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who completed within 2 years at original institution",LO_INC_COMP_ORIG_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years",LO_INC_COMP_4YR_TRANS_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years",LO_INC_COMP_2YR_TRANS_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 2 years",LO_INC_WDRAW_ORIG_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years",LO_INC_WDRAW_4YR_TRANS_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years",LO_INC_WDRAW_2YR_TRANS_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 2 years",LO_INC_ENRL_ORIG_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years",LO_INC_ENRL_4YR_TRANS_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years",LO_INC_ENRL_2YR_TRANS_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 2 years at original institution",LO_INC_UNKN_ORIG_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years",LO_INC_UNKN_4YR_TRANS_YR2_RT
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 2 years",LO_INC_UNKN_2YR_TRANS_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 2 years at original institution",MD_INC_DEATH_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 2 years at original institution",MD_INC_COMP_ORIG_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 2 years",MD_INC_COMP_4YR_TRANS_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years",MD_INC_COMP_2YR_TRANS_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 2 years",MD_INC_WDRAW_ORIG_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years",MD_INC_WDRAW_4YR_TRANS_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 2 years",MD_INC_WDRAW_2YR_TRANS_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 2 years",MD_INC_ENRL_ORIG_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years",MD_INC_ENRL_4YR_TRANS_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years",MD_INC_ENRL_2YR_TRANS_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 2 years at original institution",MD_INC_UNKN_ORIG_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 2 years",MD_INC_UNKN_4YR_TRANS_YR2_RT
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 2 years",MD_INC_UNKN_2YR_TRANS_YR2_RT
"Percent of high-income (above $75,000 in nominal family income) students who died within 2 years at original institution",HI_INC_DEATH_YR2_RT
